name,selling_price,km_driven,fuel,mileage,engine,max_power,torque,seats
Maruti Swift Dzire VDI,450000,145500,Diesel,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Skoda Rapid 1.5 TDI Ambition,370000,120000,Diesel,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5
Honda City 2017-2020 EXi,158000,140000,Petrol,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5
Hyundai i20 Sportz Diesel,225000,127000,Diesel,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5
Maruti Swift VXI BSIII,130000,120000,Petrol,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5
Hyundai Xcent 1.2 VTVT E Plus,440000,45000,Petrol,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5
Maruti Wagon R LXI DUO BSIII,96000,175000,LPG,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5
Maruti 800 DX BSII,45000,5000,Petrol,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
Toyota Etios VXD,350000,90000,Diesel,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5
Ford Figo Diesel Celebration Edition,200000,169000,Diesel,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5
Renault Duster 110PS Diesel RxL,500000,68000,Diesel,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5
Maruti Zen LX,92000,100000,Petrol,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5
Maruti Swift Dzire VDi,280000,140000,Diesel,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
Maruti Swift 1.3 VXi,200000,80000,Petrol,,,,,
Maruti Wagon R LXI Minor,180000,90000,Petrol,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5
Mahindra KUV 100 mFALCON G80 K8 5str,400000,40000,Petrol,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5
Maruti Ertiga SHVS VDI,778000,70000,Diesel,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7
Hyundai i20 1.4 CRDi Asta,500000,53000,Diesel,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5
Maruti Alto LX,150000,80000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,100000,Diesel,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5
Mahindra Verito 1.5 D4 BSIII,174000,100000,Diesel,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5
Honda WR-V i-DTEC VX,950000,50000,Diesel,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Maruti Swift Dzire ZDI,525000,40000,Diesel,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti SX4 ZDI,600000,72000,Diesel,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5
Tata Tigor 2017-2020 XZ,500000,35000,Petrol,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5
Maruti Baleno Delta 1.2,575000,45000,Petrol,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
Maruti Alto 800 LXI,275000,28000,Petrol,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Chevrolet Enjoy TCDi LTZ 7 Seater,300000,70000,Diesel,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7
Maruti Wagon R LXI Minor,220000,120000,Petrol,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5
