name,year
Maruti Swift Dzire VDI,2014
Skoda Rapid 1.5 TDI Ambition,2014
Honda City 2017-2020 EXi,2006
Hyundai i20 Sportz Diesel,2010
Maruti Swift VXI BSIII,2007
Hyundai Xcent 1.2 VTVT E Plus,2017
Maruti Wagon R LXI DUO BSIII,2007
Maruti 800 DX BSII,2001
Toyota Etios VXD,2011
Ford Figo Diesel Celebration Edition,2013
Renault Duster 110PS Diesel RxL,2014
Maruti Zen LX,2005
Maruti Swift Dzire VDi,2009
Maruti Swift 1.3 VXi,2007
Maruti Wagon R LXI Minor,2009
Mahindra KUV 100 mFALCON G80 K8 5str,2016
Maruti Ertiga SHVS VDI,2016
Hyundai i20 1.4 CRDi Asta,2012
Maruti Alto LX,2002
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016
Mahindra Verito 1.5 D4 BSIII,2011
Honda WR-V i-DTEC VX,2017
Maruti Swift Dzire ZDI,2015
Maruti SX4 ZDI,2012
Tata Tigor 2017-2020 XZ,2018
Maruti Baleno Delta 1.2,2016
Maruti Alto 800 LXI,2017
Chevrolet Enjoy TCDi LTZ 7 Seater,2013
Maruti Wagon R LXI Minor,2009
Maruti Omni E MPI STD BS IV,2018
Maruti Vitara Brezza LDi Option,2017
Fiat Palio 1.2 ELX,2003
Maruti Omni 8 Seater BSIV,2012
Hyundai i20 1.2 Asta Dual Tone,2018
Maruti Vitara Brezza LDi,2017
Maruti Alto 800 CNG LXI Optional,2019
Maruti Alto K10 VXI Airbag,2019
Hyundai Verna VTVT 1.6 SX Option,2019
Datsun GO D,2016
Tata Safari DICOR 2.2 LX 4x2,2011
Maruti 800 Std,2012
Jeep Compass 1.4 Limited Plus BSIV,2019
Honda City i VTEC VX,2018
Honda City V MT,2013
Maruti Swift Dzire VXi AT,2018
Maruti Vitara Brezza VDi,2018
Maruti Alto K10 VXI,2018
Toyota Fortuner 4x4 MT,2014
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013
Mercedes-Benz B Class B180,2014
Honda Amaze S Diesel,2015
Mitsubishi Pajero Sport 4X4,2013
Honda City i DTEC S,2015
Maruti Ciaz Zeta,2018
Honda Jazz VX Diesel,2015
Toyota Innova Crysta 2.8 ZX AT BSIV,2016
Toyota Innova 2.5 G (Diesel) 7 Seater,2016
Audi A6 2.0 TDI Technology,2013
Toyota Corolla Altis 1.8 VL CVT,2018
Audi A6 2.0 TDI  Design Edition,2013
Mercedes-Benz New C-Class 220 CDI AT,2013
Tata Manza ELAN Quadrajet BS IV,2011
Hyundai i10 Magna,2011
Hyundai i20 Asta 1.4 CRDi,2013
Maruti Swift Dzire ZDI,2015
Ford Figo 1.2P Titanium MT,2017
Maruti Baleno Delta 1.2,2019
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016
Honda City i DTEC VX,2015
Maruti Wagon R AMT VXI,2018
Volkswagen Ameo 1.5 TDI Comfortline,2017
Maruti Vitara Brezza VDi,2016
Maruti Vitara Brezza ZDi Plus AMT,2019
Hyundai i10 Magna,2011
Maruti Swift VDI Deca,2016
Toyota Fortuner 4x4 MT,2015
Maruti Swift Star VDI,2013
Maruti Ertiga ZXI,2012
Tata Indica DLS,2003
Volkswagen Vento Diesel Highline,2013
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015
BMW X1 sDrive20i xLine,2016
Maruti Celerio ZXI MT BSIV,2017
Datsun GO A Petrol,2016
