name,seller_type,transmission,owner
Maruti Swift Dzire VDI,Individual,Manual,First Owner
Skoda Rapid 1.5 TDI Ambition,Individual,Manual,Second Owner
Honda City 2017-2020 EXi,Individual,Manual,Third Owner
Hyundai i20 Sportz Diesel,Individual,Manual,First Owner
Maruti Swift VXI BSIII,Individual,Manual,First Owner
Hyundai Xcent 1.2 VTVT E Plus,Individual,Manual,First Owner
Maruti Wagon R LXI DUO BSIII,Individual,Manual,First Owner
Maruti 800 DX BSII,Individual,Manual,Second Owner
Toyota Etios VXD,Individual,Manual,First Owner
Ford Figo Diesel Celebration Edition,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxL,Individual,Manual,Second Owner
Maruti Zen LX,Individual,Manual,Second Owner
Maruti Swift Dzire VDi,Individual,Manual,Second Owner
Maruti Swift 1.3 VXi,Individual,Manual,Second Owner
Maruti Wagon R LXI Minor,Individual,Manual,Second Owner
Mahindra KUV 100 mFALCON G80 K8 5str,Individual,Manual,First Owner
Maruti Ertiga SHVS VDI,Individual,Manual,Second Owner
Hyundai i20 1.4 CRDi Asta,Individual,Manual,Second Owner
Maruti Alto LX,Individual,Manual,Second Owner
Hyundai i20 2015-2017 Asta 1.4 CRDi,Individual,Manual,First Owner
Mahindra Verito 1.5 D4 BSIII,Individual,Manual,Second Owner
Honda WR-V i-DTEC VX,Individual,Manual,First Owner
Maruti Swift Dzire ZDI,Individual,Manual,First Owner
Maruti SX4 ZDI,Individual,Manual,First Owner
Tata Tigor 2017-2020 XZ,Individual,Manual,First Owner
Maruti Baleno Delta 1.2,Individual,Manual,First Owner
Maruti Alto 800 LXI,Individual,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,Individual,Manual,First Owner
Maruti Omni E MPI STD BS IV,Individual,Manual,First Owner
Maruti Vitara Brezza LDi Option,Individual,Manual,First Owner
Fiat Palio 1.2 ELX,Individual,Manual,Second Owner
Maruti Omni 8 Seater BSIV,Individual,Manual,Second Owner
Hyundai i20 1.2 Asta Dual Tone,Individual,Manual,First Owner
Maruti Vitara Brezza LDi,Individual,Manual,First Owner
Maruti Alto 800 CNG LXI Optional,Individual,Manual,Second Owner
Maruti Alto K10 VXI Airbag,Individual,Manual,First Owner
Hyundai Verna VTVT 1.6 SX Option,Individual,Manual,First Owner
Datsun GO D,Individual,Manual,First Owner
Tata Safari DICOR 2.2 LX 4x2,Individual,Manual,Second Owner
Maruti 800 Std,Individual,Manual,First Owner
Jeep Compass 1.4 Limited Plus BSIV,Individual,Automatic,First Owner
Honda City i VTEC VX,Dealer,Manual,First Owner
Honda City V MT,Dealer,Manual,First Owner
Maruti Swift Dzire VXi AT,Dealer,Automatic,First Owner
Maruti Vitara Brezza VDi,Dealer,Manual,First Owner
Maruti Alto K10 VXI,Dealer,Manual,First Owner
Toyota Fortuner 4x4 MT,Dealer,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Dealer,Manual,First Owner
Mercedes-Benz B Class B180,Dealer,Automatic,Second Owner
Honda Amaze S Diesel,Dealer,Manual,First Owner
Mitsubishi Pajero Sport 4X4,Dealer,Manual,First Owner
Honda City i DTEC S,Dealer,Manual,First Owner
Maruti Ciaz Zeta,Dealer,Manual,First Owner
Honda Jazz VX Diesel,Dealer,Manual,First Owner
Toyota Innova Crysta 2.8 ZX AT BSIV,Dealer,Automatic,Second Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,Dealer,Manual,First Owner
Audi A6 2.0 TDI Technology,Dealer,Automatic,Second Owner
Toyota Corolla Altis 1.8 VL CVT,Dealer,Automatic,First Owner
Audi A6 2.0 TDI  Design Edition,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,Dealer,Automatic,First Owner
Tata Manza ELAN Quadrajet BS IV,Individual,Manual,First Owner
Hyundai i10 Magna,Individual,Manual,Third Owner
Hyundai i20 Asta 1.4 CRDi,Individual,Manual,First Owner
Maruti Swift Dzire ZDI,Individual,Manual,Second Owner
Ford Figo 1.2P Titanium MT,Individual,Manual,Third Owner
Maruti Baleno Delta 1.2,Individual,Manual,First Owner
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,Individual,Manual,First Owner
Honda City i DTEC VX,Individual,Manual,First Owner
Maruti Wagon R AMT VXI,Individual,Automatic,First Owner
Volkswagen Ameo 1.5 TDI Comfortline,Individual,Manual,First Owner
Maruti Vitara Brezza VDi,Individual,Manual,First Owner
Maruti Vitara Brezza ZDi Plus AMT,Individual,Automatic,First Owner
Hyundai i10 Magna,Individual,Manual,Second Owner
Maruti Swift VDI Deca,Individual,Manual,First Owner
Toyota Fortuner 4x4 MT,Individual,Manual,Second Owner
Maruti Swift Star VDI,Individual,Manual,Second Owner
Maruti Ertiga ZXI,Individual,Manual,Second Owner
Tata Indica DLS,Individual,Manual,First Owner
Volkswagen Vento Diesel Highline,Individual,Manual,First Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater,Individual,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Individual,Manual,First Owner
BMW X1 sDrive20i xLine,Individual,Automatic,Second Owner
Maruti Celerio ZXI MT BSIV,Dealer,Manual,First Owner
Datsun GO A Petrol,Dealer,Manual,First Owner
Maruti Alto 800 VXI BSIV,Dealer,Manual,First Owner
Maruti Alto 800 LXI BSIV,Dealer,Manual,First Owner
Maruti Swift VDI BSIV W ABS,Dealer,Manual,First Owner
Hyundai i10 Era 1.1,Dealer,Manual,First Owner
Maruti Omni 8 Seater BSIV,Dealer,Manual,First Owner
Maruti Wagon R LXI LPG BSIV,Dealer,Manual,First Owner
Volkswagen Polo 1.2 MPI Comfortline,Dealer,Manual,First Owner
Hyundai i10 Magna 1.1L,Dealer,Manual,Second Owner
Volkswagen Vento Petrol Highline,Dealer,Manual,Second Owner
Maruti Zen Estilo LXI BSIII,Dealer,Manual,First Owner
Hyundai i20 Asta Optional with Sunroof 1.2,Dealer,Manual,First Owner
Maruti Swift Dzire LDI,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa SX Option AT,Dealer,Automatic,First Owner
Maruti Alto LX BSIII,Dealer,Manual,Third Owner
Hyundai i20 1.4 Asta Option,Individual,Manual,First Owner
Maruti Wagon R VXI,Dealer,Manual,Second Owner
Tata Manza Aura (ABS) Quadrajet,Individual,Manual,Second Owner
Maruti Swift VXI,Individual,Manual,First Owner
Maruti Eeco 7 Seater Standard BSIV,Individual,Manual,Third Owner
Maruti Baleno Zeta 1.2,Individual,Manual,First Owner
Mahindra Scorpio VLX AT AIRBAG BSIV,Individual,Automatic,Second Owner
Ford Freestyle Titanium Petrol BSIV,Individual,Manual,Second Owner
Hyundai Verna VTVT 1.6 SX,Individual,Manual,First Owner
Volkswagen Passat 1.8 TSI MT,Individual,Manual,First Owner
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,Individual,Manual,First Owner
Mahindra XUV500 W11 Option AWD,Individual,Manual,First Owner
Tata Indigo CS LS (TDI) BS-III,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,Individual,Manual,Second Owner
Hyundai i20 Magna 1.4 CRDi (Diesel),Individual,Manual,First Owner
Toyota Corolla Altis G,Individual,Manual,Second Owner
Maruti Celerio VXI,Individual,Manual,First Owner
Maruti Vitara Brezza ZDi Plus Dual Tone,Individual,Manual,First Owner
Maruti Swift Dzire VXI,Individual,Manual,First Owner
Maruti Wagon R VXI BS IV,Individual,Manual,First Owner
