,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,manufacturer,price_group
0,Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,Skoda,"200,000 - 400,000"
2,Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Individual,Manual,Third Owner,Honda,"0 - 200,000"
3,Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,Hyundai,"200,000 - 400,000"
4,Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,Maruti,"0 - 200,000"
5,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
6,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,Other,Individual,Manual,First Owner,Maruti,"0 - 200,000"
7,Maruti 800 DX BSII,2001,45000,5000,Petrol,Individual,Manual,Second Owner,Maruti,"0 - 200,000"
8,Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,Toyota,"200,000 - 400,000"
9,Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,Ford,"200,000 - 400,000"
10,Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,Renault,"400,000 - 600,000"
11,Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,Maruti,"0 - 200,000"
12,Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,Maruti,"200,000 - 400,000"
13,Maruti Swift 1.3 VXi,2007,200000,80000,Petrol,Individual,Manual,Second Owner,Maruti,"200,000 - 400,000"
14,Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,Maruti,"0 - 200,000"
15,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,Mahindra,"400,000 - 600,000"
16,Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,Maruti,"600,000 - 800,000"
